"subj","mod","co","standard","stim","block","mod2","stim_letter","standard_letter","ord.st","trial","stim1","stim2","stim1_let","stim2_let","incongruency","visual_real_standard","blur","resp"
1,"multi_cong","external",30,37.5,2,"multi","7--19","9--21",2,71,"37.5","30","7--19","9--21",0,30,0.5,NA
1,"multi_cong","external",30,30,2,"multi","18--27","9--21",1,72,"30","30","9--21","18--27",0,30,0.5,NA
1,"multi_V","external",30,25,2,"multi","3--8","15--25",1,73,"30","25","15--25","3--8",5,35,0.5,NA
1,"multi_P","external",30,30,2,"multi","20--28","14--24",1,74,"30","30","14--24","20--28",-5,25,0.5,NA
1,"multi_P","external",30,37.5,2,"multi","1--10","9--21",2,75,"37.5","30","1--10","9--21",-5,25,0.5,NA
1,"proprio","internal",30,20,2,"multi","20--28","9--21",1,76,"30","20","9--21","20--28",0,30,1,NA
1,"proprio","internal",30,22.5,2,"multi","3--8","4--11",1,77,"30","22.5","4--11","3--8",0,30,1,NA
1,"multi_P","internal",30,35,2,"multi","2--6","12--22",2,78,"35","30","2--6","12--22",-5,25,0.5,NA
1,"multi_V","internal",30,37.5,2,"multi","3--8","12--22",1,79,"30","37.5","12--22","3--8",5,35,0.5,NA
1,"multi_cong","internal",30,25,2,"multi","20--28","9--21",2,80,"25","30","20--28","9--21",0,30,0.5,NA
1,"visual","external",30,37.5,2,"uni","16--23","17--26",2,81,"37.5","30","16--23","17--26",0,30,0.5,NA
1,"multi_cong","external",30,35,2,"multi","2--6","15--25",2,82,"35","30","2--6","15--25",0,30,0.5,NA
1,"multi_P","external",30,20,2,"multi","18--27","5--13",2,83,"20","30","18--27","5--13",-5,25,0.5,NA
1,"multi_P","external",30,25,2,"multi","7--19","9--21",1,84,"30","25","9--21","7--19",-5,25,0.5,NA
1,"proprio","external",30,37.5,2,"multi","3--8","14--24",1,85,"30","37.5","14--24","3--8",0,30,1,NA
1,"proprio","internal",30,37.5,2,"multi","2--6","5--13",1,86,"30","37.5","5--13","2--6",0,30,1,NA
1,"multi_V","internal",30,20,2,"multi","16--23","4--11",2,87,"20","30","16--23","4--11",5,35,0.5,NA
1,"visual","internal",30,30,2,"uni","2--6","15--25",2,88,"30","30","2--6","15--25",0,30,0.5,NA
1,"visual","internal",30,37.5,2,"uni","20--28","4--11",1,89,"30","37.5","4--11","20--28",0,30,0.5,NA
1,"multi_cong","internal",30,35,2,"multi","1--10","12--22",2,90,"35","30","1--10","12--22",0,30,0.5,NA
1,"multi_cong","external",30,25,2,"multi","16--23","5--13",2,91,"25","30","16--23","5--13",0,30,0.5,NA
1,"visual","external",30,40,2,"uni","18--27","17--26",1,92,"30","40","17--26","18--27",0,30,0.5,NA
1,"visual","external",30,25,2,"uni","20--28","9--21",2,93,"25","30","20--28","9--21",0,30,0.5,NA
1,"visual","external",30,30,2,"uni","3--8","4--11",1,94,"30","30","4--11","3--8",0,30,0.5,NA
1,"proprio","external",30,40,2,"multi","1--10","14--24",1,95,"30","40","14--24","1--10",0,30,1,NA
1,"multi_P","internal",30,20,2,"multi","3--8","14--24",1,96,"30","20","14--24","3--8",-5,25,0.5,NA
1,"multi_cong","internal",30,30,2,"multi","3--8","9--21",2,97,"30","30","3--8","9--21",0,30,0.5,NA
1,"visual","internal",30,35,2,"uni","7--19","14--24",2,98,"35","30","7--19","14--24",0,30,0.5,NA
1,"visual","internal",30,40,2,"uni","3--8","15--25",1,99,"30","40","15--25","3--8",0,30,0.5,NA
1,"multi_cong","internal",30,37.5,2,"multi","16--23","14--24",2,100,"37.5","30","16--23","14--24",0,30,0.5,NA
1,"proprio","external",30,25,2,"multi","2--6","12--22",1,101,"30","25","12--22","2--6",0,30,1,NA
1,"multi_cong","external",30,22.5,2,"multi","1--10","17--26",2,102,"22.5","30","1--10","17--26",0,30,0.5,NA
1,"multi_V","external",30,20,2,"multi","7--19","4--11",2,103,"20","30","7--19","4--11",5,35,0.5,NA
1,"multi_V","external",30,35,2,"multi","16--23","17--26",1,104,"30","35","17--26","16--23",5,35,0.5,NA
1,"multi_cong","external",30,40,2,"multi","20--28","12--22",2,105,"40","30","20--28","12--22",0,30,0.5,NA
1,"visual","internal",30,20,2,"uni","1--10","5--13",2,106,"20","30","1--10","5--13",0,30,0.5,NA
1,"multi_V","internal",30,25,2,"multi","2--6","5--13",2,107,"25","30","2--6","5--13",5,35,0.5,NA
1,"multi_cong","internal",30,22.5,2,"multi","7--19","17--26",2,108,"22.5","30","7--19","17--26",0,30,0.5,NA
1,"multi_P","internal",30,37.5,2,"multi","7--19","12--22",2,109,"37.5","30","7--19","12--22",-5,25,0.5,NA
1,"visual","internal",30,22.5,2,"uni","16--23","12--22",2,110,"22.5","30","16--23","12--22",0,30,0.5,NA
1,"multi_V","external",30,40,2,"multi","2--6","5--13",1,111,"30","40","5--13","2--6",5,35,0.5,NA
1,"multi_V","external",30,22.5,2,"multi","20--28","4--11",1,112,"30","22.5","4--11","20--28",5,35,0.5,NA
1,"multi_V","external",30,30,2,"multi","1--10","4--11",1,113,"30","30","4--11","1--10",5,35,0.5,NA
1,"visual","external",30,22.5,2,"uni","7--19","12--22",2,114,"22.5","30","7--19","12--22",0,30,0.5,NA
1,"multi_P","external",30,22.5,2,"multi","2--6","14--24",1,115,"30","22.5","14--24","2--6",-5,25,0.5,NA
1,"multi_P","internal",30,25,2,"multi","16--23","17--26",1,116,"30","25","17--26","16--23",-5,25,0.5,NA
1,"multi_V","internal",30,22.5,2,"multi","18--27","17--26",1,117,"30","22.5","17--26","18--27",5,35,0.5,NA
1,"multi_P","internal",30,30,2,"multi","18--27","15--25",2,118,"30","30","18--27","15--25",-5,25,0.5,NA
1,"proprio","internal",30,35,2,"multi","18--27","4--11",2,119,"35","30","18--27","4--11",0,30,1,NA
1,"proprio","internal",30,30,2,"multi","16--23","15--25",2,120,"30","30","16--23","15--25",0,30,1,NA
1,"multi_P","external",30,40,2,"multi","16--23","4--11",2,121,"40","30","16--23","4--11",-5,25,0.5,NA
1,"proprio","external",30,30,2,"multi","7--19","14--24",1,122,"30","30","14--24","7--19",0,30,1,NA
1,"proprio","external",30,35,2,"multi","20--28","15--25",1,123,"30","35","15--25","20--28",0,30,1,NA
1,"multi_cong","external",30,20,2,"multi","3--8","17--26",2,124,"20","30","3--8","17--26",0,30,0.5,NA
1,"multi_V","external",30,37.5,2,"multi","18--27","15--25",2,125,"37.5","30","18--27","15--25",5,35,0.5,NA
1,"multi_P","internal",30,22.5,2,"multi","1--10","14--24",1,126,"30","22.5","14--24","1--10",-5,25,0.5,NA
1,"multi_V","internal",30,35,2,"multi","20--28","15--25",1,127,"30","35","15--25","20--28",5,35,0.5,NA
1,"multi_V","internal",30,40,2,"multi","1--10","17--26",1,128,"30","40","17--26","1--10",5,35,0.5,NA
1,"multi_cong","internal",30,40,2,"multi","18--27","9--21",1,129,"30","40","9--21","18--27",0,30,0.5,NA
1,"visual","internal",30,25,2,"uni","18--27","4--11",1,130,"30","25","4--11","18--27",0,30,0.5,NA
1,"visual","external",30,20,2,"uni","2--6","12--22",2,131,"20","30","2--6","12--22",0,30,0.5,NA
1,"proprio","external",30,20,2,"multi","16--23","12--22",1,132,"30","20","12--22","16--23",0,30,1,NA
1,"multi_P","external",30,35,2,"multi","3--8","5--13",2,133,"35","30","3--8","5--13",-5,25,0.5,NA
1,"proprio","external",30,22.5,2,"multi","18--27","5--13",2,134,"22.5","30","18--27","5--13",0,30,1,NA
1,"visual","external",30,35,2,"uni","1--10","15--25",2,135,"35","30","1--10","15--25",0,30,0.5,NA
1,"multi_P","internal",30,40,2,"multi","20--28","9--21",2,136,"40","30","20--28","9--21",-5,25,0.5,NA
1,"multi_V","internal",30,30,2,"multi","7--19","5--13",1,137,"30","30","5--13","7--19",5,35,0.5,NA
1,"multi_cong","internal",30,20,2,"multi","2--6","17--26",2,138,"20","30","2--6","17--26",0,30,0.5,NA
1,"proprio","internal",30,25,2,"multi","1--10","14--24",1,139,"30","25","14--24","1--10",0,30,1,NA
1,"proprio","internal",30,40,2,"multi","7--19","5--13",1,140,"30","40","5--13","7--19",0,30,1,NA
1,"visual","external",30,25,3,"uni","20--28","14--24",1,141,"30","25","14--24","20--28",0,30,0.5,NA
1,"visual","external",30,37.5,3,"uni","16--23","15--25",2,142,"37.5","30","16--23","15--25",0,30,0.5,NA
1,"multi_cong","external",30,22.5,3,"multi","1--10","17--26",2,143,"22.5","30","1--10","17--26",0,30,0.5,NA
1,"multi_V","external",30,40,3,"multi","2--6","15--25",2,144,"40","30","2--6","15--25",5,35,0.5,NA
1,"multi_V","external",30,25,3,"multi","3--8","4--11",1,145,"30","25","4--11","3--8",5,35,0.5,NA
1,"multi_cong","internal",30,30,3,"multi","3--8","14--24",1,146,"30","30","14--24","3--8",0,30,0.5,NA
1,"visual","internal",30,40,3,"uni","3--8","15--25",1,147,"30","40","15--25","3--8",0,30,0.5,NA
1,"multi_P","internal",30,40,3,"multi","20--28","9--21",1,148,"30","40","9--21","20--28",-5,25,0.5,NA
1,"multi_P","internal",30,25,3,"multi","16--23","17--26",2,149,"25","30","16--23","17--26",-5,25,0.5,NA
1,"multi_V","internal",30,20,3,"multi","16--23","14--24",2,150,"20","30","16--23","14--24",5,35,0.5,NA
1,"multi_P","external",30,25,3,"multi","7--19","17--26",2,151,"25","30","7--19","17--26",-5,25,0.5,NA
