subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
2,visual,internal,30,40,5,uni,20--28,12--22,1,105,9--21,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
2,proprio,external,30,25,1,uni,2--6,4--11,2,2,2--6,12--22,25,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,40,1,uni,1--10,5--13,2,4,1--10,4--11,40,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,35,1,uni,20--28,14--24,2,7,20--28,12--22,35,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,37.5,1,uni,3--8,15--25,2,10,3--8,17--26,37.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,22.5,1,uni,18--27,17--26,2,11,18--27,9--21,22.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,30,1,uni,7--19,9--21,2,13,7--19,17--26,30,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,20,1,uni,16--23,5--13,1,16,5--13,16--23,30,20,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,37.5,2,uni,3--8,15--25,2,22,3--8,12--22,37.5,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,25,2,uni,2--6,4--11,2,29,2--6,14--24,25,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,35,2,uni,20--28,9--21,2,31,20--28,12--22,35,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,20,2,uni,16--23,12--22,2,32,16--23,15--25,20,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,40,2,uni,1--10,14--24,1,35,5--13,1--10,30,40,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,22.5,2,uni,18--27,4--11,1,38,9--21,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,30,2,uni,7--19,5--13,1,41,4--11,7--19,30,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,20,3,uni,16--23,5--13,1,43,15--25,16--23,30,20,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,30,3,uni,7--19,15--25,2,44,7--19,4--11,30,30,0,30,1,0,0,NA,NA,NA
2,proprio,external,30,25,3,uni,2--6,15--25,1,50,15--25,2--6,30,25,0,30,1,0,0,NA,NA,NA
